Job Title,Company,Location,Skills,Date Posted,Stream,Salary_Range,Experience_Level
DevOps Engineer,Martinez Inc,East Laura,aws;jenkins;docker;python;linux,09-07-2025,Cloud & DevOps,$110k-$140k,Senior
DevOps Engineer,Jacobs PLC,Carneyborough,docker;python;aws;bash;linux;ci/cd;jenkins;kubernetes;terraform,19-02-2025,Cloud & DevOps,$110k-$140k,Senior
DevOps Engineer,Adams and Sons,Samuelton,python;terraform;bash;jenkins;kubernetes;aws;ci/cd;docker;linux,25-05-2025,Cloud & DevOps,$110k-$140k,Senior
Software Engineer,Moore Inc,Lozanofort,aws;java;git;docker;rest api;spring,08-05-2025,Software Engineering,$90k-$120k,Mid
Full Stack Developer,Glenn-Hernandez,Port Jaredberg,javascript;git;css;express;html;mongodb;node.js,21-05-2025,Web Development,$85k-$110k,Mid
Cybersecurity Specialist,Hampton Inc,Jenniferfurt,python;firewall;cryptography;penetration testing;wireshark;network security;linux,16-02-2025,Cyber Security,$105k-$135k,Senior
Software Engineer,"Novak, Ward and Pacheco",Port Andrewton,spring;git;rest api;java;docker;aws;microservices,23-02-2025,Software Engineering,$90k-$120k,Mid
Cybersecurity Specialist,"Myers, Hoffman and Elliott",Warnerville,penetration testing;firewall;wireshark;cryptography;python;linux,06-02-2025,Cyber Security,$105k-$135k,Senior
DevOps Engineer,Jackson-Wilkins,South Christopher,kubernetes;terraform;docker;bash;linux,27-05-2025,Cloud & DevOps,$110k-$140k,Senior
DevOps Engineer,Jones-Roberts,Lyonsfurt,terraform;linux;python;aws;docker;bash;jenkins;kubernetes;ci/cd,19-07-2025,Cloud & DevOps,$110k-$140k,Senior
Software Engineer,"Brady, Romero and Sawyer",Michaelbury,docker;aws;rest api;git;kubernetes;java;spring,30-06-2025,Software Engineering,$90k-$120k,Mid
Software Engineer,Harrison-Wilkins,West Amberbury,git;kubernetes;docker;microservices;spring;java;aws,12-07-2025,Software Engineering,$90k-$120k,Mid
Cybersecurity Specialist,Williams Ltd,Stevenfurt,cryptography;network security;penetration testing;python;firewall,18-04-2025,Cyber Security,$105k-$135k,Senior
Full Stack Developer,Grant Group,Baldwinshire,rest api;express;css;html;git,01-06-2025,Web Development,$85k-$110k,Mid
Full Stack Developer,George Group,East Rebecca,react;css;rest api;mongodb;node.js,07-07-2025,Web Development,$85k-$110k,Mid
